CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0120,0.8375700742048803
C0001,C0091,0.7528618878928868
C0001,C0181,0.7452080176710963
C0002,C0178,0.9102838885020159
C0002,C0159,0.9019630398713462
C0002,C0164,0.8584002421286306
C0003,C0031,0.820022130943904
C0003,C0133,0.8155976927845391
C0003,C0195,0.8039389808015782
C0004,C0012,0.9223281934185819
C0004,C0113,0.9056976474686702
C0004,C0065,0.9045802947871378
C0005,C0007,0.9332052988356209
C0005,C0197,0.8868433909134634
C0005,C0140,0.8856054904877151
C0006,C0185,0.8395563245251826
C0006,C0187,0.830686885009604
C0006,C0117,0.7750638459140247
C0007,C0005,0.9332052988356209
C0007,C0140,0.9165237903635864
C0007,C0110,0.8515551198907664
C0008,C0194,0.8438184465801938
C0008,C0109,0.8110749018684263
C0008,C0093,0.7864581595543514
C0009,C0198,0.958921716056755
C0009,C0097,0.9485854762799701
C0009,C0033,0.942463441807709
C0010,C0111,0.872311694544832
C0010,C0030,0.8589175770692015
C0010,C0056,0.8272033686379039
C0011,C0107,0.8691274682289155
C0011,C0153,0.8107305334121921
C0011,C0126,0.8050734519202084
C0012,C0004,0.9223281934185819
C0012,C0113,0.9142599424622825
C0012,C0065,0.9000214471507624
C0013,C0099,0.9323350580462334
C0013,C0156,0.8522002294358969
C0013,C0188,0.8511326742278229
C0014,C0060,0.9774872407509188
C0014,C0097,0.966498261999757
C0014,C0128,0.948728842873675
C0015,C0058,0.9199303129278861
C0015,C0014,0.9081053938766406
C0015,C0151,0.905645539852256
C0016,C0107,0.8333868422357543
C0016,C0011,0.7951358992618837
C0016,C0117,0.7261852221293135
C0017,C0075,0.9370819330256069
C0017,C0057,0.8097324303041864
C0017,C0021,0.7862413753965428
C0018,C0068,0.837799981907945
C0018,C0087,0.8330783786515079
C0018,C0168,0.815059936897053
C0019,C0047,0.7189801395297545
C0019,C0121,0.678234994878255
C0019,C0161,0.6752885876614181
C0020,C0130,0.8680009269831789
C0020,C0095,0.8019559006200685
C0020,C0085,0.8004200387241578
